ID,Number,From,To,WaitToBoard,TotalTime
0,1,1,6,-10,-10
1,1,2,6,-10,-10
4,1,4,1,-10,-10
3,1,3,1,-10,-10
2,1,2,1,-10,-10
5,1,1,3,-100,-100
7,1,3,2,-125,-125
8,1,2,1,-125,-125
6,1,3,4,-125,-125
9,1,4,5,-180,-180
10,1,4,6,-180,-180
11,1,5,6,-180,-180
12,1,4,3,-180,-180
13,1,3,2,-235,-235
16,1,2,1,-235,-235
14,1,3,4,-235,-235
15,1,3,4,-235,-235
18,1,4,5,-290,-290
20,1,5,6,-290,-290
17,1,4,3,-290,-290
19,1,4,3,-290,-290
25,1,3,6,-345,-345
26,1,4,6,-345,-345
24,1,5,2,-345,-345
23,1,4,2,-345,-345
21,1,3,2,-345,-345
22,1,2,1,-345,-345
27,1,1,4,-430,-430
32,1,4,3,-460,-460
33,1,3,1,-460,-460
34,1,2,1,-460,-460
29,1,1,6,-460,-460
30,1,2,6,-460,-460
28,1,3,6,-460,-460
31,1,4,6,-460,-460
35,1,5,6,-460,-460
36,1,6,3,-550,-550
37,1,3,6,-580,-580
40,1,4,6,-580,-580
42,1,6,1,-580,-580
38,1,3,1,-580,-580
39,1,2,1,-580,-580
41,1,2,6,-580,-580
